id	ko	ja	pos	pos_tag	lemma
646	백화점	百貨店、デパート	Noun	NNG	백화점
647	버리다	捨てる	Verb	VV	버리다
648	버스	バス	Noun	NNG	버스
649	번	～回	Noun	NNB	번
650	번호	番号	Noun	NNG	번호
651	벌다	（お金を）稼ぐ、儲ける	Verb	VV	벌다
652	벌써	すでに、もう	Adverb	MAG	벌써
653	벗다	脱ぐ	VV-R	VV-R	벗다
654	벚꽃	桜	Noun	NNG	벚꽃
655	베이징	北京	Noun	NNP	베이징
656	베트남	ベトナム	Noun	NNP	베트남
657	벽	壁	Noun	NNG	벽
658	변호사	弁護士	Noun	NNG	변호사
659	별	星	Determiner	MM	별
660	별로	別に	Adverb	MAG	별로
661	병	（瓶）～本、病気	Noun	NNG	병
662	병원	病院	Noun	NNG	병원
663	보내다	送る、過ごす	Verb	VV	보내다
664	보다	見る、より	Adverb	MAG	보다
665	보도	報道	Noun	NNG	보도
666	보이다	見える、見せる	Verb	VV	보이다
667	보통	ふつう、一般的に	Adverb	MAG	보통
668	복숭아	桃	Noun	NNG	복숭아
669	복잡하다	複雑だ、（道が）混雑している	XR	XR	복잡
670	볶다	炒める、煎る	Verb	VV	볶다
671	볶음밥	チャーハン	Noun	NNG	볶음밥
672	볼펜	ボールペン	Noun	NNG	볼펜
673	봄	春	Noun	NNG	봄
674	봉지	袋	Noun	NNG	봉지
675	봉투	封筒	Noun	NNG	봉투
676	뵙다	お目にかかる	VV-R	VV-R	뵙다
677	부동산	不動産	Noun	NNG	부동산
678	부드럽다	柔らかい、やさしい	VA-I	VA-I	부드럽다
679	부르다	人を呼ぶ、歌を歌う	Verb	VV	부르다
680	부모	父母	Noun	NNG	부모
681	부부	夫婦	Noun	NNG	부부
682	부산	釜山	Noun	NNP	부산
683	부업	副業	Noun	NNG	부업
684	부엌	台所	Noun	NNG	부엌
685	부인	夫人	Noun	NNG	부인
686	부장	部長	Noun	NNG	부장
687	부지런하다	勤勉だ、まめだ	Noun	NNG	부지런
688	부치다	（郵便物を）送る、（チヂミ、プッチムゲなどを）焼く	Verb	VV	부치다
689	부탁	お願い	Noun	NNG	부탁
690	부탁하다	依頼する	Noun	NNG	부탁
691	북쪽	北、北側	Noun	NNG	북쪽
692	분	～名（目上の人を数える）、～分（時間）	Noun	NNB	분
693	분위기	雰囲気	Noun	NNG	분위기
694	불	火、明かり、電気	Noun	NNG	불
695	불고기	プルコギ、焼き肉	Noun	NNG	불고기
696	불다	（風が）吹く、（口笛、楽器などを）吹く	Noun	NNG	불
697	불편하다	不便だ、体調が悪い	Noun	NNG	불편
698	붓다	（液体を）注ぐ	Noun	NNP	붓다
699	붙다	くっつく、（試験に）受かる	Verb	VV	붙다
700	붙이다	つける、貼る	Verb	VV	붙이다
701	브라질	ブラジル	Noun	NNP	브라질
702	블라우스	ブラウス	Noun	NNG	블라우스
703	비	雨	Noun	NNG	비
704	비누	石鹸	Noun	NNG	비누
705	비디오	ビデオ	Noun	NNG	비디오
706	비밀	秘密	Noun	NNG	비밀
707	비빔밥	ビビンバ	Noun	NNG	비빔밥
708	비슷하다	似ている	Adjective	VA	비슷하다
709	비싸다	（値段が）高い	Adjective	VA	비싸다
710	비행기	飛行機	Noun	NNG	비행기
711	비행장	飛行場	Noun	NNG	비행장
712	빌딩	ビル	Noun	NNG	빌딩
713	빌리다	借りる	Verb	VV	빌리다
714	빠르다	（速度が）速い	Adjective	VA	빠르다
715	빨간색	赤色、赤	Noun	NNG	빨간색
716	빨갛다	赤い	VA-I	VA-I	빨갛다
717	빨다	洗濯する	Verb	VV	빨다
718	빨래	洗濯	Noun	NNG	빨래
719	빨리	はやく	Adverb	MAG	빨리
720	빵	パン	Noun	NNG	빵
721	빵집	パン屋、ベーカリー	Noun	NNG	빵집
722	빼다	のける、引く、抜く	Verb	VV	빼다
723	뿐	だけ、のみ、ばかり	Noun	NNB	뿐
724	사	4	Numeral	NR	사
725	사거리	四つ角	Noun	NNG	사거리
726	사계절	四季	Noun	NNG	사계절
727	사고	事故	Noun	NNG	사고
728	사과	りんご	Noun	NNG	사과
729	사다	買う	Verb	VV	사다
730	사람	人	Noun	NNG	사람
731	사랑	愛	Noun	NNG	사랑
732	사랑하다	愛する	Noun	NNG	사랑
733	사례	事例	Noun	NNG	사례
734	사무실	事務室	Noun	NNG	사무실
735	사물	物事	Noun	NNG	사물
736	사십	40	Numeral	NR	사
737	사업가	事業家	Noun	NNG	사업가
738	사용하다	使用する	Noun	NNG	사용
739	사원	社員	Noun	NNG	사원
740	사월	４月	Noun	NNG	사월
741	사이	間	Noun	NNG	사이
742	사이다	サイダー	Noun	NNG	사이다
743	사이즈	サイズ	Noun	NNG	사이즈
744	사인하다	サインする	Noun	NNG	사인
745	사장	社長	Noun	NNG	사장
746	사전	事典、辞典、辞書	Noun	NNG	사전
747	사진	写真	Noun	NNG	사진
748	사진기	写真機、カメラ	Noun	NNG	사진기
749	사촌	いとこ	Noun	NNG	사촌
750	사탕	飴、キャンディー	Noun	NNG	사탕
751	사흘	３日、３日間	Noun	NNG	사흘
752	산	山	Noun	NNG	산
753	산책	散策、散歩	Noun	NNG	산책
754	살	～歳	Noun	NNG	살
755	살다	生きる、暮らす、住む	Verb	VV	살다
