id	ko	ja	pos	pos_tag	lemma
321	기도	祈祷	Noun	NNG	기도
322	기둥	柱	Noun	NNG	기둥
323	기록	記録	Noun	NNG	기록
324	기본	基本	Noun	NNG	기본
325	기본적	基本的	Noun	NNG	기본
326	기부	寄付	Noun	NNG	기부
327	기쁨	喜び	Noun	NNG	기쁨
328	기술	技術	Noun	NNG	기술
329	기술자	技術者	Noun	NNG	기술자
330	기억	記憶	Noun	NNG	기억
331	기억나다	思い出す	Verb	VV	기억나다
332	기억력	記憶力	Noun	NNG	기억력
333	기업	企業	Noun	NNG	기업
334	기업인	起業家	Noun	NNG	기업인
335	기운	元気、気運	Noun	NNG	기운
336	기울이다	傾ける	Verb	VV	기울이다
337	기준	基準	Noun	NNG	기준
338	기차역	駅	Noun	NNG	기차역
339	기차표	列車のチケット	Noun	NNG	기차표
340	기초	基礎	Noun	NNG	기초
341	기행문	紀行文	Noun	NNG	기행문
342	기호	記号	Noun	NNP	기호
343	기혼	既婚	Noun	NNG	기혼
344	기회	機会、チャンス	Noun	NNG	기회
345	기후	気候	Noun	NNG	기후
346	긴장감	緊張感	Noun	NNG	긴장감
347	길가	道端	Noun	NNG	길가
348	길거리	通り、路上	Noun	NNG	길거리
349	길이	長さ	Noun	NNG	길이
350	김장	冬にキムチを漬け込む行事	Noun	NNG	김장
351	깊다	深い	Adjective	VA	깊다
352	깊이	深さ、深く	Adverb	MAG	깊이
353	까다	皮をむく	Verb	VV	까다
354	까다롭다	気難しい	VA-I	VA-I	까다롭다
355	깔다	敷く	Verb	VV	깔다
356	깜빡	うっかり	Adverb	MAG	깜빡
357	깨끗이	きれいに	Adverb	MAG	깨끗이
358	깨닫다	悟る	VV-I	VV-I	깨닫다
359	깨뜨리다	割る	Verb	VV	깨뜨리다
360	깨소금	ゴマ塩	Noun	NNG	깨소금
361	깨우다	起こす	Verb	VV	깨우다
362	깻잎	エゴマの葉	Noun	NNG	깻잎
363	꺼지다	消える	Verb	VV	꺼지다
364	껍질	皮	Noun	NNG	껍질
365	꼬리	しっぽ	Noun	NNG	꼬리
366	꼬박꼬박	欠かさずきちんと	Adverb	MAG	꼬박꼬박
367	꼭대기	てっぺん、頂上	Noun	NNG	꼭대기
368	꼴찌	びり、最下位	Noun	NNG	꼴찌
369	꼼꼼하다	几帳面だ	Adverb	MAG	꼼꼼
370	꼼꼼히	几帳面に	Adverb	MAG	꼼꼼히
371	꽃병	花瓶	Noun	NNG	꽃병
372	꽤	かなり、なかなか	Adverb	MAG	꽤
373	꾸미다	飾る	Verb	VV	꾸미다
374	꾸준히	着実に	Adverb	MAG	꾸준히
375	꾸짖다	叱る	Verb	VV	꾸짖다
376	꿀	はちみつ	Noun	NNG	꿀
377	꿀벌	ミツバチ	Noun	NNG	꿀벌
378	꿈꾸다	夢見る	Verb	VV	꿈꾸다
379	끈	紐	Noun	NNG	끈
380	끊다	切る	Verb	VV	끊다
381	끊어지다	切れる	Verb	VV	끊어지다
382	끊임없다	絶え間無い	Adjective	VA	끊임없다
383	끌다	引く	Verb	VV	끌다
384	끝내	最後まで、ついに	Adverb	MAG	끝내
385	끼어들다	割り込む	Verb	VV	끼어들다
386	나날이	日に日に	Adverb	MAG	나날이
387	나들이	おでかけ	Pronoun	NP	나
388	나름	次第	Noun	NNB	나름
389	나머지	残り、余り	Noun	NNG	나머지
390	나물	ナムル	Noun	NNG	나물
391	나뭇잎	葉	Noun	NNG	나뭇잎
392	나서다	進み出る、関与する	Verb	VV	나서다
393	나아가다	進む	Verb	VV	나아가다
394	나아지다	よくなる	Verb	VV	나아지다
395	나타내다	現す	Verb	VV	나타내다
396	낙서	落書き	Noun	NNG	낙서
397	낙엽	落ち葉	Noun	NNG	낙엽
398	난로	ストーブ、暖炉	Noun	NNG	난로
399	난방	暖房	Noun	NNG	난방
400	날개	翼、羽	Noun	NNG	날개
401	날다	飛ぶ	Verb	VV	날다
402	날로	日ごとに	Noun	NNG	날
403	날리다	飛ばす	Verb	VV	날리다
404	날씬하다	やせている	XR	XR	날씬
405	날아가다	飛ぶ	Verb	VV	날아가다
406	날아다니다	飛び回る	Verb	VV	날아다니다
407	날아오다	飛んでくる	Verb	VV	날아오다
408	날아오르다	飛び立つ	Verb	VV	날다
409	낡다	古い	Adjective	VA	낡다
410	남녀노소	老若男女	Noun	NNG	남녀노소
411	남녀평등	男女平等	Noun	NNG	남녀평등
412	남다	残る、余る	Verb	VV	남다
413	남부	南部	Noun	NNG	남부
414	남성	男性	Noun	NNG	남성
415	남성복	男性服	Noun	NNG	남성복
416	낫다	治る	VA-I	VA-I	낫다
417	낭비	浪費、無駄遣い	Noun	NNG	낭비
418	낯설다	見慣れない	Adjective	VA	낯설다
419	낳다	産む	Verb	VV	낳다
420	내내	ずっと	Adverb	MAG	내내
421	내려다보다	見下ろす	Verb	VV	내려다보다
422	내복	下着	Noun	NNG	내복
423	내부	内部	Noun	NNG	내부
424	내성적	内気な	Noun	NNG	내성
425	내용물	中身、内容物	Noun	NNG	내용물
426	내쫓다	追い出す	Verb	VV	내쫓다
427	냇가	小川	Noun	NNG	냇가
428	냉방병	冷房病	Noun	NNP	냉방병
429	너그럽다	寛大だ、度量が大きい	VA-I	VA-I	너그럽다
430	너무나	あまりにも	Adverb	MAG	너무나
431	넉넉하다	十分だ、豊かだ	XR	XR	넉넉
432	널다	干す、風に当てる	Pronoun	NP	너
433	넓히다	広げる、広くする	Verb	VV	넓히다
434	넘기다	渡す	Verb	VV	넘기다
435	넘어가다	移る	Verb	VV	넘어가다
436	넘치다	あふれる	Verb	VV	넘치다
437	네모나다	四角い	Adjective	VA	네모나다
438	네트워크	ネットワーク	Noun	NNG	네트워크
439	년대	年代	Noun	NNB	년대
440	노동	労働	Noun	NNG	노동
441	노동자	労働者	Noun	NNG	노동자
442	노력	努力	Noun	NNG	노력
443	노선	路線	Noun	NNG	노선
444	노약자	お年寄り、体の不自由な方	Noun	NNG	노약자
445	노인	老人	Noun	NNG	노인
446	노처녀	未婚で年をとった女性	XPN	XPN	노
447	노총각	未婚で年を取った男性	XPN	XPN	노
448	노트북	ノート型パソコン	Noun	NNG	노트북
449	녹다	溶ける	Verb	VV	녹다
450	녹음	録音	Noun	NNG	녹음
451	녹음기	録音機	Noun	NNG	녹음기
452	논문	論文	Noun	NNG	논문
453	놀랍다	驚くべきだ、目覚ましい	VA-I	VA-I	놀랍다
454	놀리다	からかう	Verb	VV	놀리다
455	놀이	遊び	Noun	NNG	놀이
456	놀이터	公園、広場	Noun	NNG	놀이터
457	놈	奴	Noun	NNB	놈
458	농담	冗談	Noun	NNG	농담
459	농민	農民、農夫	Noun	NNG	농민
460	농부	農夫	Noun	NNG	농부
461	농사	農業	Noun	NNG	농사
462	농약	農薬	Noun	NNG	농약
463	농작물	農作物	Noun	NNG	농작물
464	농촌	農村	Noun	NNG	농촌
465	높이	高さ	Noun	NNG	높이
466	높이다	高める	Noun	NNG	높이
